asx_code,company_name,gics_industry_group,ticker_yf,security_type,is_etf
AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,AKP.AX,Equity,False
AUG,AUGUSTUS MINERALS LIMITED,Materials,AUG.AX,Equity,False
AKN,AUKING MINING LIMITED,Materials,AKN.AX,Equity,False
AUK,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail,AUK.AX,Equity,False
AAM,AUMEGA METALS LTD,Materials,AAM.AX,Equity,False
AEE,AURA ENERGY LIMITED,Energy,AEE.AX,Equity,False
AUV,AURAVELLE METALS LIMITED,Materials,AUV.AX,Equity,False
AKA,AUREKA LIMITED,Materials,AKA.AX,Equity,False
AMI,AURELIA METALS LIMITED,Materials,AMI.AX,Equity,False
AWJ,AURIC MINING LIMITED,Materials,AWJ.AX,Equity,False
AUR,AURIS MINERALS LIMITED,Materials,AUR.AX,Equity,False
AZJ,AURIZON HOLDINGS LIMITED,Transportation,AZJ.AX,Equity,False
1AE,AURORA ENERGY METALS LIMITED,Materials,1AE.AX,Equity,False
A3D,AURORA LABS LIMITED,Capital Goods,A3D.AX,Equity,False
AUE,AURUM RESOURCES LIMITED,Materials,AUE.AX,Equity,False
AUN,AURUMIN LIMITED,Materials,AUN.AX,Equity,False
AUC,AUSGOLD LIMITED,Materials,AUC.AX,Equity,False
AOA,AUSMON RESOURCES LIMITED,Materials,AOA.AX,Equity,False
ANV,AUSNET SERVICES HOLDINGS PTY LTD,Not Applic,ANV.AX,Equity,False
AQD,AUSQUEST LIMITED,Materials,AQD.AX,Equity,False
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,ABB.AX,Equity,False
ASB,AUSTAL LIMITED,Capital Goods,ASB.AX,Equity,False
AUH,AUSTCHINA HOLDINGS LIMITED,Energy,AUH.AX,Equity,False
AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,AHC.AX,Equity,False
ANG,AUSTIN ENGINEERING LIMITED,Capital Goods,ANG.AX,Equity,False
AYT,AUSTIN METALS LIMITED,Materials,AYT.AX,Equity,False
AGD,AUSTRAL GOLD LIMITED,Materials,AGD.AX,Equity,False
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials,AR1.AX,Equity,False
A8G,AUSTRALASIAN METALS LIMITED,Materials,A8G.AX,Equity,False
AN3,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,Not Applic,AN3.AX,Equity,False
AYM,AUSTRALIA UNITED MINING LIMITED,Materials,AYM.AX,Equity,False
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",AAC.AX,Equity,False
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",AAP.AX,Equity,False
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,ABE.AX,Equity,False
ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,ACL.AX,Equity,False
XCL,AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,Not Applic,XCL.AX,Equity,False
ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials,ACM.AX,Equity,False
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",AHF.AX,Equity,False
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,AEF.AX,Equity,False
AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,AFG.AX,Equity,False
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,AFI.AX,Equity,False
AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,AGC.AX,Equity,False
AUZ,AUSTRALIAN MINES LIMITED,Materials,AUZ.AX,Equity,False
AOK,AUSTRALIAN OIL COMPANY LIMITED.,Energy,AOK.AX,Equity,False
AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials,AQC.AX,Equity,False
AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials,AR3.AX,Equity,False
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials,ASQ.AX,Equity,False
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials,ASM.AX,Equity,False
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic,AUI.AX,Equity,False
AYU,AUSTRALIAN UNITY LIMITED,Not Applic,AYU.AX,Equity,False
AOF,AUSTRALIAN UNITY OFFICE FUND,Equity Real Estate Investment Trusts (REITs),AOF.AX,Fund,False
AVL,AUSTRALIAN VANADIUM LIMITED,Materials,AVL.AX,Equity,False
AVG,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",AVG.AX,Equity,False
ATS,AUSTRALIS OIL & GAS LIMITED,Energy,ATS.AX,Equity,False
ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail,ASG.AX,Equity,False
AVA,AVA RISK GROUP LIMITED,Technology Hardware & Equipment,AVA.AX,Equity,False
AVD,AVADA GROUP LIMITED,Commercial & Professional Services,AVD.AX,Equity,False
AVE,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",AVE.AX,Equity,False
AEV,AVENIRA LIMITED,Materials,AEV.AX,Equity,False
AVW,AVIRA RESOURCES LTD,Materials,AVW.AX,Equity,False
AVH,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences",AVH.AX,Equity,False
AXL,AXEL REE LIMITED,Materials,AXL.AX,Equity,False
AXI,AXIOM PROPERTIES LIMITED,Real Estate Management & Development,AXI.AX,Equity,False
AXP,AXP ENERGY LIMITED,Energy,AXP.AX,Equity,False
BBN,BABY BUNTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,BBN.AX,Equity,False
BPP,BABYLON PUMP & POWER LIMITED,Capital Goods,BPP.AX,Equity,False
BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,Financial Services,BTI.AX,Equity,False
BM1,BALLARD MINING LIMITED,Materials,BM1.AX,Equity,False
BMR,BALLYMORE RESOURCES LIMITED,Materials,BMR.AX,Equity,False
B01,BANCO SANTANDER S.A.,Not Applic,B01.AX,Equity,False
BOQ,BANK OF QUEENSLAND LIMITED.,Banks,BOQ.AX,Equity,False
BMN,BANNERMAN ENERGY LTD,Energy,BMN.AX,Equity,False
BAP,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail,BAP.AX,Equity,False
BGD,BARTON GOLD HOLDINGS LIMITED,Materials,BGD.AX,Equity,False
BSN,BASIN ENERGY LIMITED,Energy,BSN.AX,Equity,False
BAS,BASS OIL LIMITED,Energy,BAS.AX,Equity,False
BMO,BASTION MINERALS LIMITED,Materials,BMO.AX,Equity,False
BRL,BATHURST RESOURCES LIMITED.,Materials,BRL.AX,Equity,False
BM8,BATTERY AGE MINERALS LTD,Materials,BM8.AX,Equity,False
BMH,BAUMART HOLDINGS LIMITED,Capital Goods,BMH.AX,Equity,False
BMM,BAYAN MINING AND MINERALS LIMITED,Materials,BMM.AX,Equity,False
BDX,BCAL DIAGNOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",BDX.AX,Equity,False
BCI,BCI MINERALS LIMITED,Materials,BCI.AX,Equity,False
BPT,BEACH ENERGY LIMITED,Energy,BPT.AX,Equity,False
BLX,BEACON LIGHTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,BLX.AX,Equity,False
BCN,BEACON MINERALS LIMITED,Materials,BCN.AX,Equity,False
BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,Technology Hardware & Equipment,BCC.AX,Equity,False
BMT,BEAMTREE HOLDINGS LIMITED,Health Care Equipment & Services,BMT.AX,Equity,False
BTL,BEETALOO ENERGY AUSTRALIA LIMITED,Energy,BTL.AX,Equity,False
B4P,BEFOREPAY GROUP LIMITED,Financial Services,B4P.AX,Equity,False
BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",BGA.AX,Equity,False
BRX,BELARAROX LIMITED,Materials,BRX.AX,Equity,False
BFG,BELL FINANCIAL GROUP LIMITED,Financial Services,BFG.AX,Equity,False
BVR,BELLAVISTA RESOURCES LTD,Materials,BVR.AX,Equity,False
BGL,BELLEVUE GOLD LIMITED,Materials,BGL.AX,Equity,False
BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks,BEN.AX,Equity,False
BHD,BENJAMIN HORNIGOLD LIMITED,Not Applic,BHD.AX,Equity,False
BEL,BENTLEY CAPITAL LIMITED,Not Applic,BEL.AX,Equity,False
BNZ,BENZ MINING CORP.,Materials,BNZ.AX,Equity,False
BEO,BEONIC LTD,Software & Services,BEO.AX,Equity,False
BKY,BERKELEY ENERGIA LIMITED,Energy,BKY.AX,Equity,False
BEZ,BESRA GOLD INC.,Materials,BEZ.AX,Equity,False
BET,BETMAKERS TECHNOLOGY GROUP LTD,Consumer Services,BET.AX,Equity,False
